field_codi_equipament,field_comarca,field_municipi,field_nom_equipament,field_espai_principal
801370014,Alt Penedès,Avinyonet del Penedès,ÀREA D'ACTIVITAT FÍSICA PL. DEL SINDICAT,Altres espais
801370011,Alt Penedès,Avinyonet del Penedès,"CAMP DE FUTBOL ""LA GRAVA""",CAM
801370002,Alt Penedès,Avinyonet del Penedès,CAMP DE FUTBOL L'ARBOÇAR,CAM
801370008,Alt Penedès,Avinyonet del Penedès,"PISTA POLIESPORTIVA ""ELS AMETLLERS""",POL
801370009,Alt Penedès,Avinyonet del Penedès,PISTA POLIESPORTIVA DE CANTALLOPS,POL
801370004,Alt Penedès,Avinyonet del Penedès,PISTA POLIESPORTIVA DE LES CABORIES,POL
801370010,Alt Penedès,Avinyonet del Penedès,PISTA POLIESPORTIVA L'ARBOÇAR DE DALT,POL
802720006,Alt Penedès,Les Cabanyes,ÀREA D'ACTIVITAT FÍSICA C. VINT-I-DOS,Altres espais
802720003,Alt Penedès,Les Cabanyes,CAMP MUNICIPAL DE FUTBOL,CAM
802720007,Alt Penedès,Les Cabanyes,CIRCUIT URBÀ,Altres espais
802720005,Alt Penedès,Les Cabanyes,CISTELLA DE BÀSQUET C. VINT-I-SIS,Altres espais
802720001,Alt Penedès,Les Cabanyes,LOCAL SOCIAL Y PISTA POLIESPORTIVA,POL
805810006,Alt Penedès,Castellet i la Gornal,CAMP DE FUTBOL SANT MARÇAL,CAM
805810002,Alt Penedès,Castellet i la Gornal,CENTRE CÍVIC DE ROCALLISA,POL
805810011,Alt Penedès,Castellet i la Gornal,CLUB PETANCA URB. ELS ROSERS,PET
805810004,Alt Penedès,Castellet i la Gornal,PARC DE LA GORNAL,CAM
805810013,Alt Penedès,Castellet i la Gornal,PISCINA MUNICIPAL CLARIANA,PAL
805810003,Alt Penedès,Castellet i la Gornal,"PISTA POLIESPORTIVA ""LES MASUQUES""",POL
805810007,Alt Penedès,Castellet i la Gornal,PISTA POLIESPORTIVA DE CLARIANA,POL
805810010,Alt Penedès,Castellet i la Gornal,PISTA POLIESPORTIVA URB. ELS ROSERS,POL
805810012,Alt Penedès,Castellet i la Gornal,ZONA ESPORTIVA TORRELLETES,POL
806540009,Alt Penedès,Castellví de la Marca,ÀREA D'ACTIVITAT FÍSICA CENTRE POLIVALENT DE LA MÚNIA,Altres espais
806540003,Alt Penedès,Castellví de la Marca,CAMP DE FUTBOL MUNICIPAL DE LA MÚNIA,CAM
806540008,Alt Penedès,Castellví de la Marca,FERRADA DEL CASTELLOT,Altres espais
806540004,Alt Penedès,Castellví de la Marca,PISCINA MUNICIPAL DE CASTELLVÍ DE LA MARCA,PAL
806540015,Alt Penedès,Castellví de la Marca,PISTES DE PADEL DE LA MÚNIA,PAD
808500014,Alt Penedès,Font-rubí,ÀREA D'ACTIVITAT FÍSICA C. GRABUAC,Altres espais
808500011,Alt Penedès,Font-rubí,ÀREA D'ACTIVITAT FÍSICA PARC DE LA SITJOTA,PET
808500001,Alt Penedès,Font-rubí,CAMP DE FUTBOL MUNICIPAL,CAM
808500013,Alt Penedès,Font-rubí,CIRCUIT DE CURSA A PEU C. DE FONT-RUBÍ,Altres espais
808500005,Alt Penedès,Font-rubí,PAVELLÓ POLIESPORTIU MUNICIPAL,PAV
808500006,Alt Penedès,Font-rubí,PISCINES MUNICIPALS,PAL
808500003,Alt Penedès,Font-rubí,PISTES DE TENNIS MUNICIPALS,TEN
809190012,Alt Penedès,Gelida,ÀREA ESCALADA DE GELIDA,Altres espais
809190007,Alt Penedès,Gelida,CAMP DE FUTBOL MUNICIPAL,CAM
809190001,Alt Penedès,Gelida,PAVELLÓ MUNICIPAL D'ESPORTS,PAV
809190002,Alt Penedès,Gelida,PISCINES MUNICIPALS,PAL
809190005,Alt Penedès,Gelida,PISTA POLIESPORTIVA PG. CIRCUMVAL·LACIÓ,POL
809190015,Alt Penedès,Gelida,PISTES DE PETANCA MUNICIPAL,PET
809190008,Alt Penedès,Gelida,PISTES DE TENNIS I PÀDEL,TEN
809450005,Alt Penedès,La Granada,CAMP DE FUTBOL MUNICIPAL,CAM
809450001,Alt Penedès,La Granada,CASA DE LA CULTURA,SAL
809450008,Alt Penedès,La Granada,CISTELLA DE BÀSQUET PL. DE LA BOVERIA,Altres espais
809450009,Alt Penedès,La Granada,CISTELLA DE BÀSQUET PL. DE LA GINESTA,Altres espais
809450010,Alt Penedès,La Granada,CISTELLA DE BÀSQUET PL. DE LA INDEPENDÈNCIA,Altres espais
809450011,Alt Penedès,La Granada,CISTELLA DE BÀSQUET PL. DELS BASTONERS,Altres espais
809450004,Alt Penedès,La Granada,PISCINES MUNICIPALS,PAL
809450002,Alt Penedès,La Granada,PISTA POLIESPORTIVA MUNICIPAL,POL
809450013,Alt Penedès,La Granada,PISTES DE PÀDEL,PAD
809450012,Alt Penedès,La Granada,PISTES DE PETANCA I BITLLES SECTOR LA TORRE,PET
812280002,Alt Penedès,Mediona,CAMP MUNICIPAL D'ESPORTS MEDIONA,CAM
812280006,Alt Penedès,Mediona,PISTA POLIESPORTIVA CASES NOVES,POL
812280007,Alt Penedès,Mediona,PISTA POLIESPORTIVA FONT DEL BOSC,POL
812280011,Alt Penedès,Mediona,PISTA POLIESPORTIVA SANT ELIES,POL
812280008,Alt Penedès,Mediona,POLIESPORTIU MUNICIPAL ANTONI RAMALLETS,PAV
812280013,Alt Penedès,Mediona,ZONA ESPORTIVA MONTERREY PARK,CAM
814580013,Alt Penedès,Olèrdola,ÀREA D'ACTIVITAT FÍSICA PL. D'OLÈRDOLA,PET
814580016,Alt Penedès,Olèrdola,ÀREA D'ACTIVITAT FÍSICA ST. PERE MOLANTA,PET
814580015,Alt Penedès,Olèrdola,PISTA DE PETANCA ST. MIQUEL,PET
814580008,Alt Penedès,Olèrdola,ZONA ESPORTIVA CAN TRABAL,CAM
814580004,Alt Penedès,Olèrdola,ZONA ESPORTIVA MUNICIPAL MOJA,CAM
814580014,Alt Penedès,Olèrdola,ZONA ESPORTIVA PL. DE L'ESGLÉSIA,POL
814610011,Alt Penedès,Olesa de Bonesvalls,ÀREA D'ACTIVITAT FÍSICA PARC DE CAN XARÓ,Altres espais
814610010,Alt Penedès,Olesa de Bonesvalls,ÀREA D'ACTIVITAT FÍSICA PL. DE LA VILA,Altres espais
814610004,Alt Penedès,Olesa de Bonesvalls,CAMP DE FUTBOL MARIÀ TUTUSAUS I AUGÉ,CAM
814610002,Alt Penedès,Olesa de Bonesvalls,CENTRE CÍVIC D'OLESA DE BONESVALLS,SAL
814610005,Alt Penedès,Olesa de Bonesvalls,CENTRE CULTURAL CA N'OLIVELLA-PLA DEL PÈLAG,POL
814610008,Alt Penedès,Olesa de Bonesvalls,FRONTÓ CLUB LA COSTA,FRO
814610003,Alt Penedès,Olesa de Bonesvalls,PISCINA MUNICIPAL,PAL
814610012,Alt Penedès,Olesa de Bonesvalls,PISTA DE PÀDEL PARC DE CAN XACÓ,PAD
814610009,Alt Penedès,Olesa de Bonesvalls,PISTA POLIESPORTIVA MUNICIPAL,POL
815420005,Alt Penedès,Pacs del Penedès,PISTA COBERTA JOSEP SOLER I FERRER,SAL
815420004,Alt Penedès,Pacs del Penedès,PISTA POLIESPORTIVA MUNICIPAL C. EXTERIOR,POL
815420007,Alt Penedès,Pacs del Penedès,PISTA POLIESPORTIVA PLA DE CAVALLS,POL
816400007,Alt Penedès,El Pla del Penedès,ÀREA D'ACTIVITAT FÍSICA PL DE LA GENT GRAN,Altres espais
816400002,Alt Penedès,El Pla del Penedès,PAVELLÓ MUNICIPAL,PAV
816400003,Alt Penedès,El Pla del Penedès,PISCINES MUNICIPALS,PAL
816400006,Alt Penedès,El Pla del Penedès,PISTA VOLEIBOL PL. DEL SINDICAT,POL
816880004,Alt Penedès,Pontons,CENTRE CULTURAL,SAL
816880006,Alt Penedès,Pontons,PISCINES MUNICIPALS,PAL
816880003,Alt Penedès,Pontons,PISTES POLIESPORTIVES CAMÍ DE LA PISTA,POL
817480005,Alt Penedès,Puigdàlber,ÀREA D'ACTIVITAT ESPORTIVA,Altres espais
817480002,Alt Penedès,Puigdàlber,CAMP DE FUTBOL MUNICIPAL,CAM
817480001,Alt Penedès,Puigdàlber,PISTA POLIESPORTIVA  MUNICIPAL,POL
817480004,Alt Penedès,Puigdàlber,PISTES DE PÀDEL,PAD
820680001,Alt Penedès,Sant Cugat Sesgarrigues,CENTRE CIVIC,SAL
820680002,Alt Penedès,Sant Cugat Sesgarrigues,PISCINES MUNICIPALS,PAL
820680007,Alt Penedès,Sant Cugat Sesgarrigues,PISTA DE BÀSQUET PL. DEL SINDICAT,POL
820680004,Alt Penedès,Sant Cugat Sesgarrigues,ZONA ESPORTIVA MUNICIPAL,PAV
820680005,Alt Penedès,Sant Cugat Sesgarrigues,ZONA ESPORTIVA PL. JOAN SANGENÍS,CAM
822270013,Alt Penedès,Sant Llorenç d'Hortons,ÀREA D'ACTIVITAT FÍSICA PL. DEL PÀMPOL,Altres espais
822270006,Alt Penedès,Sant Llorenç d'Hortons,CAMP DE FUTBOL MUNICIPAL,CAM
822270005,Alt Penedès,Sant Llorenç d'Hortons,PAVELLÓ POLIESPORTIU MUNICIPAL,PAV
822270001,Alt Penedès,Sant Llorenç d'Hortons,PISCINA MUNICIPAL,PAL
822270002,Alt Penedès,Sant Llorenç d'Hortons,PISTA ESPORTIVA COBERTA BEGUDA,SAL
822270010,Alt Penedès,Sant Llorenç d'Hortons,PISTA POLIESPORTIVA S.C. HORTONENCA,POL
822270012,Alt Penedès,Sant Llorenç d'Hortons,ZONA ESPORTIVA ST. JOAN SAMORA,POL
822700009,Alt Penedès,Sant Martí Sarroca,ÀREA D'ACTIVITAT FÍSICA PARC DE LA PAU,Altres espais
822700003,Alt Penedès,Sant Martí Sarroca,PISCINES MUNICIPALS,PAL
822700004,Alt Penedès,Sant Martí Sarroca,ZONA ESPORTIVA MUNICIPAL,PAV
823250003,Alt Penedès,Sant Pere de Riudebitlles,ÀREA D'ACTIVITAT FÍSICA PL. DEL PAPER,POL
823250001,Alt Penedès,Sant Pere de Riudebitlles,CAMP DE FUTBOL MUNICIPAL,CAM
823250005,Alt Penedès,Sant Pere de Riudebitlles,CAMP DE TIR,Altres espais
823250008,Alt Penedès,Sant Pere de Riudebitlles,INSTAL·LACIONS ESPORTIVES MUNICIPALS,PAL
823250002,Alt Penedès,Sant Pere de Riudebitlles,PAVELLÓ MUNICIPAL,PAV
823620009,Alt Penedès,Sant Quintí de Mediona,ÀREA D'ACTIVITAT FÍSICA PG. DE LES DEUS,Altres espais
823620008,Alt Penedès,Sant Quintí de Mediona,CAMP DE FUTBOL MUNICIPAL,CAM
823620003,Alt Penedès,Sant Quintí de Mediona,EL JARDÍ (CENTRE CÍVIC),POL
823620006,Alt Penedès,Sant Quintí de Mediona,PISTA POLIESPORTIVA COBERTA,PAV
823620004,Alt Penedès,Sant Quintí de Mediona,PISTA POLIESPORTIVA MUNICIPAL,POL
824010025,Alt Penedès,Sant Sadurní d'Anoia,ÀREA D'ACTIVITAT FÍSICA C. GELIDA,Altres espais
824010033,Alt Penedès,Sant Sadurní d'Anoia,ÀREA D'ACTIVITAT FÍSICA PL. PERE PLANAS URGELLES,Altres espais
824010021,Alt Penedès,Sant Sadurní d'Anoia,CAMPS DE FUTBOL MUNICIPALS,CAM
824010024,Alt Penedès,Sant Sadurní d'Anoia,CISTELLA DE BÀSQUET PL. DEL  MONTSENY,Altres espais
824010012,Alt Penedès,Sant Sadurní d'Anoia,CISTELLA DE BÀSQUET PL. JAUME ROSSELL I ROIG,Altres espais
824010001,Alt Penedès,Sant Sadurní d'Anoia,PAVELLÓ ESPORTIU,PAV
824010020,Alt Penedès,Sant Sadurní d'Anoia,PISTA POLIESPORTIVA C. MACABEU,POL
824010007,Alt Penedès,Sant Sadurní d'Anoia,PISTA POLIESPORTIVA VILARMAU,POL
824010006,Alt Penedès,Sant Sadurní d'Anoia,PISTES MUNICIPALS DE PETANCA,PET
824010028,Alt Penedès,Sant Sadurní d'Anoia,PISTES MUNICIPALS DE TENNIS LA TRIOLA,TEN
824010029,Alt Penedès,Sant Sadurní d'Anoia,TENNIS TAULA PL. PERE FERRER I BOSCH,Altres espais
824010016,Alt Penedès,Sant Sadurní d'Anoia,ZONA ESPORTIVA DEL CEMENTIRI,CAM
824010008,Alt Penedès,Sant Sadurní d'Anoia,ZONA ESPORTIVA MUNICIPAL,PCO
824010023,Alt Penedès,Sant Sadurní d'Anoia,ZONA ESPORTIVA PARC LLUÍS COMPANYS,POL
824950002,Alt Penedès,Santa Fe del Penedès,PISTA POLIESPORTIVA MUNICIPAL,POL
825150022,Alt Penedès,Santa Margarida i els Monjos,ÀREA D'ACTIVITAT FÍSICA AV. CAL RUBIÓ,Altres espais
825150011,Alt Penedès,Santa Margarida i els Monjos,ÀREA D'ACTIVITAT FÍSICA PG. FLUVIAL,Altres espais
825150012,Alt Penedès,Santa Margarida i els Monjos,ÀREA D'ACTIVITAT FÍSICA PL. CA L'ANTIC,Altres espais
825150021,Alt Penedès,Santa Margarida i els Monjos,ÀREA D'ACTIVITAT FÍSICA PL. DE LA PAU,Altres espais
825150023,Alt Penedès,Santa Margarida i els Monjos,ÀREA D'ACTIVITAT FÍSICA PL. DEL MOST,PET
825150024,Alt Penedès,Santa Margarida i els Monjos,ÀREA ESPORTIVA PL. DE L'OMEDA,POL
825150009,Alt Penedès,Santa Margarida i els Monjos,CAMP DE FUTBOL LA RÀPITA,CAM
825150004,Alt Penedès,Santa Margarida i els Monjos,CAMP MUNICIPAL D'ESPORTS ELS MONJOS,CAM
825150028,Alt Penedès,Santa Margarida i els Monjos,CIRCUIT ESPORTIU PG. DEL FOIX,Altres espais
825150026,Alt Penedès,Santa Margarida i els Monjos,CISTELLA DE BÀSQUET AV. CAL SALINES,Altres espais
825150003,Alt Penedès,Santa Margarida i els Monjos,GIMNÀS MUNICIPAL,SAL
825150001,Alt Penedès,Santa Margarida i els Monjos,PAVELLÓ MUNICIPAL D'ESPORTS,PAV
825150027,Alt Penedès,Santa Margarida i els Monjos,PING-PONG PL. COSTA DAURADA,Altres espais
825150002,Alt Penedès,Santa Margarida i els Monjos,PISCINES MUNICIPALS,PAL
825150010,Alt Penedès,Santa Margarida i els Monjos,PISTA POLIESPORTIVA COSTA DORADA,POL
825150006,Alt Penedès,Santa Margarida i els Monjos,PISTA POLIESPORTIVA DE CAL RUBIÓ,POL
825150008,Alt Penedès,Santa Margarida i els Monjos,PISTA POLIESPORTIVA ELS TRES PINS,POL
825150005,Alt Penedès,Santa Margarida i els Monjos,"PISTA POLIESPORTIVA MUNICIPAL ""LA PISTA""",PAV
825150007,Alt Penedès,Santa Margarida i els Monjos,PISTA POLIESPORTIVA MUNICIPAL LA RÀPITA,POL
825150013,Alt Penedès,Santa Margarida i els Monjos,PISTES DE PETANCA PL DELS AVIS,PET
825150029,Alt Penedès,Santa Margarida i els Monjos,SKATE PARC,Altres espais
827320022,Alt Penedès,Subirats,ÀREA D'ACTIVTAT FÍSICA PL. DE LA CREU,PET
827320021,Alt Penedès,Subirats,ÀREA D'ACTIVTAT FÍSICA PL. REVEREND CASTELLVÍ,Altres espais
827320001,Alt Penedès,Subirats,CAMP DE FUTBOL CAN CARTRÓ,CAM
827320010,Alt Penedès,Subirats,CAMP DE FUTBOL SANT PAU,CAM
827320023,Alt Penedès,Subirats,CISTELLA DE BÀSQUET BARRI CASOTS,Altres espais
827320024,Alt Penedès,Subirats,CISTELLA DE BÀSQUET CAN CARTRÓ,Altres espais
827320030,Alt Penedès,Subirats,PARC DE CAL·LISTÈNIA DE SANT PAU,Altres espais
827320011,Alt Penedès,Subirats,PISCINA MUNICIPAL SANT PAU,PAL
827320008,Alt Penedès,Subirats,PISCINES MUNICIPALS ORDAL,PAL
827320020,Alt Penedès,Subirats,PISTA DE FUTBOL SALA URB. CAN ROSELL,POL
827320009,Alt Penedès,Subirats,PISTA ESPORTIVA C. DEL PARC,POL
827320019,Alt Penedès,Subirats,PISTA POLIESPORTIVA DE CA L'AVI,POL
827320007,Alt Penedès,Subirats,PISTA POLIESPORTIVA MUNICIPAL ORDAL,POL
827320012,Alt Penedès,Subirats,PISTA POLIESPORTIVA MUNICIPAL ST. PAU,POL
827320028,Alt Penedès,Subirats,PISTA SKATE DE LAVERN,Altres espais
827320004,Alt Penedès,Subirats,ZONA ESPORTIVA MUNICIPAL LAVERN,CAM
827320018,Alt Penedès,Subirats,ZONA ESPORTIVA URB. CASABLANCA,POL
828770008,Alt Penedès,Torrelavit,ÀREA D'ACTIVITAT FÍSICA PARC DE LES PUBILLES,Altres espais
828770003,Alt Penedès,Torrelavit,PAVELLÓ POLIESPORTIU MUNICIPAL,PAV
828770002,Alt Penedès,Torrelavit,PISCINES MUNICIPALS,PAL
828770007,Alt Penedès,Torrelavit,PISTA POLIESPORTIVA DEL LOCAL SOCIAL DE CAN ROSSEL,POL
828770001,Alt Penedès,Torrelavit,ZONA ESPORTIVA MUNICIPAL,POL
828830004,Alt Penedès,Torrelles de Foix,CAMP DE FUTBOL AV. DE CAN CORAL,CAM
828830003,Alt Penedès,Torrelles de Foix,CAMP DE TIR,Altres espais
828830011,Alt Penedès,Torrelles de Foix,CAMP MUNICIPAL DE PETANCA JOSEP BALCELLS,PET
828830001,Alt Penedès,Torrelles de Foix,COMPLEX ESPORTIU LES DOUS,PAL
828830009,Alt Penedès,Torrelles de Foix,NOU CAMP MUNICIPAL,CAM
828830005,Alt Penedès,Torrelles de Foix,ZONA ESPORTIVA EL CORRAL NOU,CAM
828830002,Alt Penedès,Torrelles de Foix,ZONA ESPORTIVA LA PLANA,CAM
830540047,Alt Penedès,Vilafranca del Penedès,ÀREA D'ACTIVITAT FÍSICA PARC 11 DE SETEMBRE,Altres espais
830540046,Alt Penedès,Vilafranca del Penedès,ÀREA D'ACTIVITAT FÍSICA PL. 58,Altres espais
830540025,Alt Penedès,Vilafranca del Penedès,ÀREA D'ACTIVITAT FÍSICA PL. SARDANA,PET
830540038,Alt Penedès,Vilafranca del Penedès,ÀREA D'ACTIVITAT FÍSICA PL. VILANOVA,Altres espais
830540005,Alt Penedès,Vilafranca del Penedès,CAMP DE FUTBOL MUNICIPAL DE L'ESPIRALL,CAM
830540008,Alt Penedès,Vilafranca del Penedès,CAMPS DE FUTBOL 2 I 3,CAM
830540044,Alt Penedès,Vilafranca del Penedès,CIRCUIT BTT,Altres espais
830540040,Alt Penedès,Vilafranca del Penedès,CIRCUIT DE CURSA A PEU,Altres espais
830540011,Alt Penedès,Vilafranca del Penedès,CISTELLES DE BÀSQUET PL. BISBE MORGADES,Altres espais
830540037,Alt Penedès,Vilafranca del Penedès,COMPLEX AQUÀTIC,PCO
830540035,Alt Penedès,Vilafranca del Penedès,ESTADI I PISTA D'ATLETISME,CAM
830540028,Alt Penedès,Vilafranca del Penedès,GIMNÀS MUNICIPAL,PAV
830540031,Alt Penedès,Vilafranca del Penedès,PAVELLÓ D'HOQUEI,PAV
830540030,Alt Penedès,Vilafranca del Penedès,PAVELLÓ FIRAL,PAV
830540029,Alt Penedès,Vilafranca del Penedès,"PAVELLÓ NOU ""LA GAMBA""",PAV
830540045,Alt Penedès,Vilafranca del Penedès,PISTES DE PETANCA MONTMELL,PET
830540023,Alt Penedès,Vilafranca del Penedès,SKATEPARK PARC DE LLEVANT,Altres espais
830410007,Alt Penedès,Vilobí del Penedès,ÁREA D'ACTIVITAT FÍSICA CENTRE CÍVIC,Altres espais
830410005,Alt Penedès,Vilobí del Penedès,CAMP DE FUTBOL MUNICIPAL,CAM
830410004,Alt Penedès,Vilobí del Penedès,PISCINA MUNICIPAL,PAL
830410002,Alt Penedès,Vilobí del Penedès,PISTA POLIESPORTIVA MUNICIPAL,POL
802140003,Anoia,Bellprat,PISTA POLIESPORTIVA MUNICIPAL,POL
802530010,Anoia,El Bruc,ÀREA D'ACTIVITAT FÍSICA PARC DE L'ILLA,PET
802530009,Anoia,El Bruc,"ÀREA ESCALADA DE MONTSERRAT, MONISTROL DE MONTSERR",Altres espais
802530001,Anoia,El Bruc,URBANITZACIÓ BRUC RESIDENCIAL,POL
802530006,Anoia,El Bruc,ZONA ESPORTIVA MONTSERRAT PARK,POL
802530004,Anoia,El Bruc,ZONA ESPORTIVA MUNICIPAL,CAM
802880007,Anoia,Cabrera d'Anoia,ÀREA D'ACTIVITAT FÍSICA PER A LA GENT GRAN,Altres espais
802880008,Anoia,Cabrera d'Anoia,CAMP DE FUTBOL EL CASTELL,CAM
802880006,Anoia,Cabrera d'Anoia,LOCAL SOCIAL DEL CASTELL DE CABRERA,PET
802880001,Anoia,Cabrera d'Anoia,PISCINA CAN ROS,PAL
802880009,Anoia,Cabrera d'Anoia,PISTA PLAÇA DEL SOL,POL
802880005,Anoia,Cabrera d'Anoia,PISTES DE PETANCA MUNICIPALS CAN ROS,PET
803120007,Anoia,Calaf,CAMP DE FUTBOL MUNICIPAL,CAM
803120011,Anoia,Calaf,CISTELLA PLAÇA DEL PINÓS,Altres espais
803120009,Anoia,Calaf,CLUB DE TENNIS TAULA CALAF,SAL
803120010,Anoia,Calaf,ESPAI D'ACTIVITAT FÍSICA PARC RAMON SALA,POL
803120008,Anoia,Calaf,PISCINES MUNICIPALS,PAL
803120001,Anoia,Calaf,PISTES TENNIS MUNICIPALS,POL
803120006,Anoia,Calaf,POLIESPORTIU MUNICIPAL,PAV
804460010,Anoia,Capellades,CAMP DE FUTBOL MUNICIPAL,CAM
804460005,Anoia,Capellades,PAVELLÓ POLIESPORTIU,PAV
804460003,Anoia,Capellades,PISCINA BLAVA MUNICIPAL,PAL
804460002,Anoia,Capellades,PISTES PETANCA CAPELLADES,PET
804840005,Anoia,Carme,ÀREA D'ACTIVITAT FÍSICA PLAÇA DE L'ESGLÉSIA,Altres espais
804840001,Anoia,Carme,CAMP DE FUTBOL MUNICIPAL,CAM
804840004,Anoia,Carme,CASAL DE CARME (CENTRE POPULAR),SAL
804840002,Anoia,Carme,PISCINA I PISTES MUNICIPALS,POL
806080001,Anoia,Castellfollit de Riubregós,POLIESPORTIU MUNICIPAL,POL
806360010,Anoia,Castellolí,GIMANS MUNICIPAL EL CENTRE,SAL
806360007,Anoia,Castellolí,PISTES DE TENNIS ELS PINYERETS,TEN
806360009,Anoia,Castellolí,TRIAL PARC I PUMP TRACK,Altres espais
806360002,Anoia,Castellolí,ZONA ESPORTIVA LES PASSERES,POL
807130001,Anoia,Copons,POLIESPORTIU MUNICIPAL,POL
807130005,Anoia,Copons,SALA POLIVALENT,SAL
816290011,Anoia,Els Hostalets de Pierola,ÀREA D'ACTIVITAT FÍSICA BOSC DE CAL PONCE,POL
816290002,Anoia,Els Hostalets de Pierola,ÀREA D'ACTIVITAT FÍSICA C. DEL PROGRÈS,POL
816290010,Anoia,Els Hostalets de Pierola,ÀREA D'ACTIVITAT FÍSICA LA SERRA ALTA,Altres espais
816290007,Anoia,Els Hostalets de Pierola,CAMP DE FUTBOL MUNICIPAL,CAM
816290009,Anoia,Els Hostalets de Pierola,LOCAL SOCIAL DE CAN MONTSERRAT,POL
816290012,Anoia,Els Hostalets de Pierola,LOCAL SOCIAL SERRA ALTA,POL
816290004,Anoia,Els Hostalets de Pierola,PISCINA MUNICIPAL,PAL
816290003,Anoia,Els Hostalets de Pierola,PISTA POLIESPORTIVA MUNICIPAL,POL
816290008,Anoia,Els Hostalets de Pierola,SALA POLIVALENT TORRE DEL SENYOR ENRIC,SAL
810220004,Anoia,Igualada,ÀREA D'ACTIVITAT FÍSICA PARC  VALLBONA,POL
810220065,Anoia,Igualada,ÀREA D'ACTIVITAT FÍSICA PARC DE LES COMES,Altres espais
810220003,Anoia,Igualada,ÀREA D'ACTIVITAT FÍSICA PARC VALLDAURA,Altres espais
810220016,Anoia,Igualada,CAMP DE FUTBOL CAN BUSQUÉ,CAM
810220044,Anoia,Igualada,CAMP DE FUTBOL CAN MASARNAU,CAM
810220010,Anoia,Igualada,CAMP DEL PARC DEL XIPRERET,CAM
810220006,Anoia,Igualada,CAMPS DE FUTBOL LES COMES,CAM
810220018,Anoia,Igualada,COMPLEX ESPORTIU LES COMES,PCO
810220046,Anoia,Igualada,COMPLEX ESPORTIU MUNICIPAL PUIGCORNET INFINIT,PCO
810220052,Anoia,Igualada,ESPAI BITLLES CATALANES,Altres espais
810220011,Anoia,Igualada,ESTADI ATLÈTIC MUNICIPAL,ATL
810220061,Anoia,Igualada,PARC ESTACIÓ VELLA,Altres espais
810220015,Anoia,Igualada,PISCINA MUNICIPAL MOLÍ NOU,PAL
810220001,Anoia,Igualada,PISTA DE PETANCA FÀTIMA IGUALADA,PET
810220060,Anoia,Igualada,PISTA POLIESPORTIVA BARRI SANT CRIST,POL
810220054,Anoia,Igualada,PISTES DE PETANCA BARRI DE MONTSERRAT,PET
810220064,Anoia,Igualada,SKATE I BIKE PARC LES COMES,Altres espais
810380002,Anoia,Jorba,CAMP DE FUTBOL MUNICIPAL,CAM
810380008,Anoia,Jorba,CISTELLA PLAÇA 11 DE SETEMBRE,Altres espais
810380001,Anoia,Jorba,PISCINA MUNICIPAL,PAL
810430009,Anoia,La Llacuna,ÀREA D'ACTIVITAT FÍSICA CARRER DE LA CUITORA,Altres espais
810430010,Anoia,La Llacuna,CAMP DE FUTBOL DE ROFES,CAM
810430002,Anoia,La Llacuna,CAMP MUNICIPAL D'ESPORTS LA CUITORA,CAM
810430006,Anoia,La Llacuna,PISCINA MUNICIPAL,SAL
811920032,Anoia,Masquefa,ÀREA D'ACTIVITAT FÍSICA AV. CATALUNYA,POL
811920031,Anoia,Masquefa,ÀREA D'ACTIVITAT FÍSICA C. MONTSERRAT,Altres espais
811920025,Anoia,Masquefa,ÀREA D'ACTIVITAT FÍSICA PLAÇA ANSELM CLAVÉ,Altres espais
811920019,Anoia,Masquefa,ÀREA D'ACTIVITAT FÍSICA PLAÇA DE L'ESTACIÓ,Altres espais
811920005,Anoia,Masquefa,CAMP DE FUTBOL DE MASQUEFA,CAM
811920014,Anoia,Masquefa,CIRCUIT D'AUTOCROSS  DE MASQUEFA,Altres espais
811920006,Anoia,Masquefa,CLUB DE TIR ESPORTIU MARTORELL,Altres espais
811920027,Anoia,Masquefa,COMPLEX ESPORTIU MUNICIPAL (CEM) DE MASQUEFA,PCO
811920033,Anoia,Masquefa,PARC D'AGILITY,Altres espais
811920008,Anoia,Masquefa,PAVELLÓ POLIESPORTIU MUNICIPAL,PAV
811920004,Anoia,Masquefa,PISTA POLIESPORTIVA CAN PARELLADA,POL
811920016,Anoia,Masquefa,PISTES DE PETANCA CAN PARELLADA,PET
811920001,Anoia,Masquefa,PISTES MUNICIPALS DE PETANCA,PET
811920020,Anoia,Masquefa,"SKATE PARK, PARKOUR I CIRCUIT PARC DEL TURÓ DEL MET",Altres espais
811920021,Anoia,Masquefa,ZONA ESPORTIVA CAN QUISERÓ,POL
811920022,Anoia,Masquefa,ZONA ESPORTIVA EL MASET,CAM
811920010,Anoia,Masquefa,ZONA ESPORTIVA MASQUEFA,POL
811920018,Anoia,Masquefa,ZONA ESPORTIVA PLAÇA DELS JOCS,POL
813320001,Anoia,Montmaneu,PISTA POLIESPORTIVA MUNICIPAL,POL
814300003,Anoia,Òdena,AERÒDROM D'IGUALADA - ÒDENA,Altres espais
814300010,Anoia,Òdena,PARC BIKE-TRIAL,Altres espais
814300005,Anoia,Òdena,PAVELLÓ POLIESPORTIU MESTRE VILAVELL,PAV
814300008,Anoia,Òdena,PISTA POLIESPORTIVA DE L'ESPELT,POL
814300007,Anoia,Òdena,PISTA POLIESPORTIVA DEL PLA D'ÒDENA,POL
814300001,Anoia,Òdena,ZONA ESPORTIVA MUNICIPAL,CAM
